Sector number,Division name,xmin,A1m1,A1m2,A1m3,A1m4,A1m5,A1m6,A2m1,A2m2,A2m3,A2m4,A2m5,A2m6,A3m1,A3m2,A3m3,A3m4,A3m5,A3m6,A4m1,A4m2,A4m3,A4m4,A4m5,A4m6
1,Crop and animal production; hunting and related service activities,0.937747036,0.937660551,0.937660545,0.937660535,0.937660528,0.937660515,0.937659065,0.937053017,0.937053017,0.937053017,0.937053017,0.937053017,0.937053017,0.998293967,0.998293963,0.998293952,0.996340819,0.968997057,0.968995605,0.998293914,0.998293914,0.998293914,0.996340789,0.996340789,0.996340789
2,Forestry and logging,0.937747036,0.996332685,0.937738935,0.937738935,0.937738932,0.937738933,0.937738834,0.985734505,0.985108895,0.968995613,0.937745613,0.937745613,0.937745613,0.998293915,0.996340791,0.996340789,0.996340787,0.996340788,0.99634069,0.998293911,0.998293911,0.996340786,0.996340786,0.996340786,0.996340786
3,Fishing and aquaculture,0.937747036,0.937672699,0.968922699,0.9376727,0.937672698,0.937672699,0.937672655,0.969030223,0.937780223,0.969030223,0.937780223,0.969030223,0.969030223,0.998293912,0.998293911,0.99829391,0.998293909,0.996340786,0.996340744,0.998293911,0.998293911,0.998293911,0.998293911,0.996340786,0.996340786
4,Mining of coal and lignite,0.841813136,0.96534707,0.965347056,0.965347037,0.965347025,0.965347005,0.965344396,0.987176842,0.987176842,0.987176842,0.987176842,0.987176842,0.987176842,0.998063232,0.99806322,0.9980632,0.998063185,0.966813167,0.96681056,0.998063299,0.998063299,0.998063299,0.998063299,0.998063299,0.998063299
5,Manufacture of food products,0.716135458,0.964535088,0.964535034,0.964534952,0.964534883,0.964534796,0.964522848,0.974767593,0.943517593,0.943517593,0.943517593,0.943517593,0.943517593,0.997385836,0.997385785,0.997385701,0.997385632,0.966135546,0.966123597,0.999338597,0.999338597,0.999338597,0.997385472,0.966135472,0.966135472
6,Manufacture of textiles,0.716135458,0.96597479,0.965974779,0.965974762,0.965974748,0.965974729,0.965972229,0.825495207,0.950495207,0.825495207,0.825495207,0.887995207,0.575495207,0.997386523,0.997386513,0.997386494,0.997386481,0.966136462,0.966133966,0.997420147,0.997420147,0.997420147,0.997420147,0.966170147,0.970076397
7,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,0.716135458,0.966034668,0.966034657,0.966034645,0.966034632,0.966034619,0.966032696,0.950471921,0.950471921,0.950471921,0.950471921,0.950471921,0.950471921,0.997385553,0.997385542,0.997385529,0.966135519,0.966135504,0.966133578,0.997386703,0.997386703,0.997386703,0.997386703,0.966136703,0.966136703
8,Manufacture of paper and paper products,0.716135458,0.96576552,0.965765516,0.965765508,0.965765502,0.965765491,0.965764181,0.860254253,0.657129253,0.657129253,0.657129253,0.657129253,0.657129253,0.99935722,0.999357213,0.999357205,0.999357197,0.999357186,0.999355878,0.998091289,0.998091289,0.998091289,0.998091289,0.998091289,0.998091289
9,Printing and reproduction of recorded media,0.716135458,0.87499769,0.749997677,0.999997656,0.749997639,0.749997615,0.749994594,0.948969323,0.659906823,0.800531823,0.722406823,0.863031823,0.648188073,0.838688698,0.963688682,0.963688664,0.963688644,0.713688621,0.7136856,0.873256159,0.873256159,0.873256159,0.873256159,0.873256159,0.873256159
10,Manufacture of coke and refined petroleum products,0.716135458,0.965915415,0.965915414,0.965915409,0.965915405,0.965915401,0.965914737,0.950629787,0.950629787,0.981879787,0.950629787,0.950629787,0.950629787,0.997385478,0.997385475,0.997385473,0.997385468,0.966135464,0.9661348,0.997385458,0.997385458,0.997385458,0.997385458,0.997385458,0.997385458
11,Manufacture of chemicals and chemical products,0.716135458,0.996790415,0.9967904,0.96554038,0.965540359,0.965540336,0.965537131,0.948567431,0.948567431,0.948567431,0.948567431,0.948567431,0.948567431,0.997385563,0.997385548,0.997385528,0.997385507,0.997385485,0.966132281,0.999338672,0.997385547,0.997385547,0.997385547,0.997385547,0.997385547
12,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.716135458,0.965889672,0.965889654,0.965889625,0.965889604,0.965889575,0.965885667,0.950031777,0.950031777,0.950031777,0.950031777,0.950031777,0.950031777,0.997385582,0.997385565,0.997385536,0.997385516,0.966135487,0.96613158,0.999338584,0.997385459,0.997385459,0.997385459,0.966135459,0.997385459
13,Manufacture of rubber and plastic products,0.716135458,0.965670444,0.965670424,0.965670398,0.965670372,0.965670339,0.965666081,0.824334366,0.574334366,0.574334366,0.574334366,0.574334366,0.574334366,0.997385852,0.997385834,0.997385806,0.966135779,0.966135747,0.966131489,0.997395305,0.997395305,0.997395305,0.997395305,0.966145305,0.966145305
14,Manufacture of other non-metallic mineral products,0.716135458,0.965496114,0.965496102,0.965496085,0.96549607,0.965496051,0.965493371,0.950606656,0.950606656,0.950606656,0.950606656,0.950606656,0.950606656,0.997385544,0.997385529,0.997385514,0.966135499,0.966135479,0.966132799,0.997385458,0.997385458,0.997385458,0.997385458,0.966135458,0.981760458
15,Manufacture of basic metals,0.716135458,0.997112216,0.965862205,0.965862192,0.965862177,0.96586216,0.965859949,0.950641724,0.950641724,0.950641724,0.950641724,0.950641724,0.950641724,0.997385626,0.997385616,0.997385601,0.966135586,0.966135569,0.966133358,0.997387362,0.997387362,0.997387362,0.997387362,0.966137362,0.966137362
16,Manufacture of fabricated metal products; except machinery and equipment,0.716135458,0.965349603,0.965349568,0.965349516,0.96534947,0.715349417,0.965341812,0.82562767,0.82562767,0.82562767,0.82562767,0.57562767,0.82562767,0.997386093,0.997386062,0.99738601,0.997385965,0.96613591,0.966128305,0.999353629,0.997400504,0.997400504,0.997400504,0.966150504,0.966150504
17,Manufacture of computer; electronic and optical products,0.716135458,0.965938521,0.965938494,0.965938459,0.965938431,0.965938395,0.965933282,0.950252021,0.950252021,0.950252021,0.950252021,0.950252021,0.950252021,0.997385622,0.997385594,0.99738556,0.997385533,0.997385495,0.997380385,0.999338583,0.997385458,0.997385458,0.997385458,0.966135458,0.966135458
18,Manufacture of electrical equipment,0.716135458,0.965938079,0.965938069,0.965938056,0.965938042,0.965938026,0.96593584,0.95034205,0.95034205,0.95034205,0.95034205,0.95034205,0.95034205,0.997385528,0.997385518,0.997385504,0.966135489,0.966135475,0.966133286,0.997385458,0.997385458,0.997385458,0.997385458,0.966135458,0.966135458
19,Manufacture of machinery and equipment n.e.c.,0.716135458,0.965817311,0.965817267,0.965817203,0.965817148,0.715817078,0.965807488,0.981857534,0.981857534,0.950607534,0.950607534,0.950607534,0.950607534,0.966135764,0.966135718,0.966135656,0.966135601,0.96613553,0.966125941,0.997385562,0.997385562,0.997385562,0.997385562,0.966135562,0.966135562
20,Manufacture of motor vehicles; trailers and semi-trailers,0.716135458,0.965551373,0.965551344,0.965551302,0.965551269,0.965551224,0.965545277,0.98179497,0.95054497,0.98179497,0.98179497,0.95054497,0.95054497,0.997385649,0.99738562,0.99738558,0.997385545,0.966135503,0.997379553,0.999338583,0.999338583,0.999338583,0.997385458,0.966135458,0.966135458
21,Manufacture of other transport equipment,0.716135458,0.965252866,0.965252835,0.965252795,0.965252762,0.715252717,0.965246698,0.950962682,0.950962682,0.950962682,0.950962682,0.950962682,0.950962682,0.99738565,0.966135622,0.966135582,0.966135546,0.966135501,0.966129483,0.997385474,0.997385474,0.997385474,0.997385474,0.966135474,0.966135474
22,Manufacture of furniture,0.716135458,0.965649794,0.965649772,0.965649737,0.965649706,0.715649667,0.965644376,0.575339843,0.575339843,0.575339843,0.575339843,0.575339843,0.575339843,0.999351907,0.999351882,0.999351847,0.997398691,0.966148652,0.966143361,0.99982973,0.99982973,0.99982973,0.997876605,0.966626605,0.966626605
23,Repair and installation of machinery and equipment,0.716135458,0.939453119,0.999999961,0.874999913,0.74999987,0.749999817,0.749992672,0.963582566,0.928426316,0.990926316,0.811238816,0.615926316,0.740926316,0.997385843,0.997385811,0.997385763,0.966135718,0.966135666,0.966128522,0.997391462,0.997391462,0.997391462,0.997391462,0.966141462,0.966141462
24,Electricity; gas; steam and air conditioning supply,0.852971846,0.974044728,0.974044706,0.974044678,0.974044652,0.974044618,0.974040108,0.999859668,0.999859668,0.999859668,0.999859668,0.999859668,0.999859668,0.999456374,0.999456356,0.999456324,0.993596923,0.977971891,0.97796738,0.999456345,0.999456345,0.999456345,0.999456345,0.98578447,0.97797197
25,Water collection; treatment and supply,0.935422602,0.935335989,0.935335972,0.935335953,0.935335936,0.935335915,0.935332986,0.970610669,0.970610669,0.970610669,0.970610669,0.970610669,0.970610669,0.999875817,0.997922674,0.997922655,0.997922637,0.997922616,0.997919686,0.999875727,0.997922602,0.997922602,0.997922602,0.997922602,0.997922602
26,Sewerage,0.935422602,0.966360208,0.935110181,0.935110142,0.93511011,0.935110067,0.935104344,0.751763736,0.751763736,0.751763736,0.751763736,0.751763736,0.876763736,0.999882981,0.999882954,0.999882914,0.997929759,0.997929714,0.997923993,0.998061897,0.998061897,0.998061897,0.998061897,0.998061897,0.998061897
27,Construction of buildings                                                     ,0.557392103,0.936005795,0.807099417,0.807099219,0.807099047,0.807098839,0.807069769,0.977168674,0.945918674,0.945918674,0.945918674,0.945918674,0.945918674,0.998800337,0.998800209,0.998800011,0.994893589,0.932393379,0.932364309,0.998830762,0.994924512,0.994924512,0.994924512,0.932424512,0.932424512
