Sector number,Division name,xmin,B1m1,B1m2,B1m3,B1m4,B1m5,B1m6,B2m1,B2m2,B2m3,B2m4,B2m5,B2m6,B3m1,B3m2,B3m3,B3m4,B3m5,B3m6,B4m1,B4m2,B4m3,B4m4,B4m5,B4m6
1,Crop and animal production; hunting and related service activities,0.937747036,1,0.99997394,0.999947218,0.999819926,0.970007955,0.787140431,0.989676337,0.987083729,0.75489071,0.820882352,0.937696321,0.788717337,0.809988837,0.752708729,0.75489071,0.820882352,0.937696321,0.788717337,0.935965399,0.877708729,0.87989071,0.945882352,0.937696321,0.913717337
2,Forestry and logging,0.937747036,0.999983809,0.999991927,0.999978091,0.99998433,0.999935104,0.999860943,0.996287174,0.999195973,0.995921019,0.753654772,0.758008544,0.750859332,0.937693424,0.753102223,0.753733519,0.933342272,0.937696044,0.821171832,0.937693424,0.878102223,0.878733519,0.933342272,0.937696044,0.821171832
3,Fishing and aquaculture,0.937747036,0.99995279,0.999884385,0.999892316,0.976946999,0.938391546,0.998291873,0.999508528,0.999792782,0.998771321,0.997435993,0.782139977,0.756131336,0.952382592,0.900702206,0.957755696,0.778685993,0.750889977,0.935818836,0.999837426,0.999304501,0.995353353,0.903685993,0.875889977,0.935818836
4,Mining of coal and lignite,0.841813136,0.776458825,0.861323368,0.829954278,0.929320591,0.681905265,0.809233265,0.776063434,0.860948362,0.829650055,0.929248167,0.682588615,0.81155454,0.776063434,0.860948362,0.829650055,0.929248167,0.682588615,0.81155454,0.901063434,0.985948362,0.954650055,0.929248167,0.932588615,0.81155454
5,Manufacture of food products,0.716135458,0.851652678,0.847651433,0.857196395,0.823063692,0.823477823,0.749207039,0.851077034,0.847202803,0.857057468,0.824397332,0.5796643,0.762982569,0.851077034,0.847202803,0.857057468,0.824397332,0.8296643,0.762982569,0.976077034,0.972202803,0.982057468,0.949397332,0.8296643,0.762982569
6,Manufacture of textiles,0.716135458,0.614340609,0.798327099,0.671817041,0.636481379,0.711845161,0.629045323,0.614327315,0.798334351,0.671876069,0.636757952,0.712985212,0.631435608,0.614327315,0.798334351,0.671876069,0.636757952,0.712985212,0.631435608,0.989327315,0.798334351,0.921876069,0.886757952,0.962985212,0.881435608
7,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,0.716135458,0.631722979,0.662143163,0.634039655,0.877818726,0.788575048,0.653815043,0.576236436,0.61472801,0.58667262,0.775417655,0.742193705,0.858320477,0.576236436,0.61472801,0.58667262,0.775417655,0.742193705,0.858320477,0.826236436,0.86472801,0.83667262,0.775417655,0.992193705,0.858320477
8,Manufacture of paper and paper products,0.716135458,0.64358181,0.641669524,0.572909181,0.718461806,0.634846177,0.817688389,0.770733663,0.64383375,0.82457231,0.720761508,0.887604293,0.821471213,0.645733663,0.64383375,0.82457231,0.720761508,0.887604293,0.821471213,0.895733663,0.89383375,0.94957231,0.970761508,0.887604293,0.946471213
9,Printing and reproduction of recorded media,0.716135458,0.581049643,0.958249179,0.661763822,0.771977125,0.691526092,0.767825237,0.574763613,0.951985494,0.905573214,0.766062651,0.686763243,0.765057157,0.574763613,0.951985494,0.905573214,0.766062651,0.686763243,0.765057157,0.699763611,0.951985491,0.905573212,0.766062648,0.811763241,0.765057155
10,Manufacture of coke and refined petroleum products,0.716135458,0.997950408,0.984538139,0.995673485,0.910392892,0.621425785,0.686865852,0.751045573,0.671970586,0.573752789,0.582295682,0.574773611,0.578092195,0.891670573,0.953220586,0.839377789,0.910420682,0.871648611,0.937467195,0.891670573,0.953220586,0.839377789,0.910420682,0.871648611,0.937467195
